S 150270,4 hit s = 19, b= 16
S 15037c,4 hit s = 27, b= 28
S 150488,4 hit s = 4, b= 8
S 150594,4 hit s = 12, b= 20
S 1506a0,4 miss eviction s = 21, b= 0
S 1507ac,4 hit s = 29, b= 12
S 1508b8,4 hit s = 5, b= 24
L 1128c8,4 miss eviction s = 6, b= 8
L 1128cc,4 hit s = 6, b= 12
L 1128d0,4 hit s = 6, b= 16
L 1128d4,4 hit s = 6, b= 20
L 1128d8,4 hit s = 6, b= 24
L 1128dc,4 hit s = 6, b= 28
L 1128e0,4 miss eviction s = 7, b= 0
L 1128e4,4 hit s = 7, b= 4
S 150168,4 hit s = 11, b= 8
S 150274,4 hit s = 19, b= 20
